stage	target	exit_code	log
smoke	jq-gh-2825	0	reproduction/logs/jq-base-smoke.log
build	php-base	1	reproduction/logs/php-base-build.log
build	cpython-base	0	reproduction/logs/cpython-base-build.log
run	cpython-base	stopped-resource-budget	reproduction/logs/cpython-base-run.log
build	php-base-retry	0	reproduction/logs/php-base-build-retry.log
run	php-base:php-gh-12721	0	reproduction/logs/php-base-php-gh-12721-resource.log
run	cpython-base:py-pr-125015	stopped-config-bypass	reproduction/logs/cpython-base-py-pr-125015-resource.log
build	cpython-base-resource-fix	0	reproduction/logs/cpython-base-build-resource.log
run	cpython-base:py-pr-125015-resource-v2	0	reproduction/logs/cpython-base-py-pr-125015-resource-v2.log
build	jasper-base-direct	1-network	reproduction/logs/jasper-base-build.log
build	jasper-base-proxy	0	reproduction/logs/jasper-base-build-proxy.log
smoke	jasper-base:jas-gh-383	0	reproduction/logs/jasper-base-jas-gh-383-smoke.log
build	htslib-base-proxy	0	reproduction/logs/htslib-base-build-proxy.log
smoke	htslib-base:htslib-gh-1788	0-no-case-selected	reproduction/logs/htslib-base-htslib-gh-1788-smoke.log
smoke	htslib-base:htslib-gh-2063	0	reproduction/logs/htslib-base-htslib-gh-2063-smoke.log
build	libtiff-base-proxy	0-with-pip-conflict-warning	reproduction/logs/libtiff-base-build-proxy.log
smoke	libtiff-base:tif-gh-647	1-functional-105-of-106	reproduction/logs/libtiff-base-tif-gh-647-smoke.log
smoke	libtiff-base:tif-gh-647-runtime-proxy	0-after-retries	reproduction/logs/libtiff-base-tif-gh-647-smoke-runtime-proxy.log
build	simdjson-base-proxy	0	reproduction/logs/simdjson-base-build-proxy.log
smoke	simdjson-base:simdjson-issue-1273	0	reproduction/logs/simdjson-base-simdjson-issue-1273-smoke.log
build	wireshark-base-proxy	0	reproduction/logs/wireshark-base-build-proxy.log
smoke	wireshark-base:wireshark-commit-129565f	1-missing-qt6-core5compat	reproduction/logs/wireshark-base-wireshark-commit-129565f-smoke.log
build	wireshark-base-qt6-5compat	0	reproduction/logs/wireshark-base-build-qt6-5compat.log
smoke	wireshark-base:wireshark-commit-129565f	0	reproduction/logs/wireshark-base-wireshark-commit-129565f-smoke-qt6-5compat.log
build	mruby-base-proxy	0-with-pip-conflict-warning	reproduction/logs/mruby-base-build-proxy.log
smoke	mruby-base:mruby-gh-5333	0	reproduction/logs/mruby-base-mruby-gh-5333-smoke.log
build	quickjs-base-proxy	0-with-pip-conflict-warning	reproduction/logs/quickjs-base-build-proxy.log
smoke	quickjs-base:qjs-gh-379	0	reproduction/logs/quickjs-base-qjs-gh-379-smoke.log
build	pcapplusplus-base-proxy	0-with-pip-conflict-warning	reproduction/logs/pcapplusplus-base-build-proxy.log
smoke	pcapplusplus-base:pcap-gh-1137	0-with-path-normalization-warning	reproduction/logs/pcapplusplus-base-pcap-gh-1137-smoke.log
build	hermes-base-proxy	0	reproduction/logs/hermes-base-build-proxy.log
smoke	hermes-base:hermes-commit-29018f8	0-with-path-normalization-warning	reproduction/logs/hermes-base-hermes-commit-29018f8-smoke.log
build	wabt-base-proxy	0	reproduction/logs/wabt-base-build-proxy.log
smoke	wabt-base:wabt-gh-1524	0	reproduction/logs/wabt-base-wabt-gh-1524-smoke.log
build	exiv2-base-proxy	0	reproduction/logs/exiv2-base-build-proxy.log
smoke	exiv2-base:exiv2-commit-459910c	0	reproduction/logs/exiv2-base-exiv2-commit-459910c-smoke.log
build	hdf5-base-proxy	0-with-pip-conflict-warning	reproduction/logs/hdf5-base-build-proxy.log
smoke	hdf5-base:hdf5-commit-b07eb6e	0	reproduction/logs/hdf5-base-hdf5-commit-b07eb6e-smoke.log
build	vim-base-proxy	0-with-pip-conflict-warning	reproduction/logs/vim-base-build-proxy.log
smoke	vim-base:vim-commit-bd228fd	0	reproduction/logs/vim-base-vim-commit-bd228fd-smoke.log
build	icu-base-proxy	0-with-pip-conflict-warning	reproduction/logs/icu-base-build-proxy.log
smoke	icu-base:icu-issue-12504	0	reproduction/logs/icu-base-icu-issue-12504-smoke.log
build	libxml2-base-proxy	0	reproduction/logs/libxml2-base-build-proxy.log
smoke	libxml2-base:xml-commit-0090675	0	reproduction/logs/libxml2-base-xml-commit-0090675-smoke.log
build	v8-base-proxy	0-with-pip-conflict-and-systemd-container-warnings	reproduction/logs/v8-base-build-proxy.log
smoke	v8-base:v8-regress-1309769	1-bytecode-generator-segv	reproduction/logs/v8-base-v8-regress-1309769-smoke.log
smoke	v8-base:v8-regress-1309769	1-three-distinct-asan-helper-segv-after-three-retries	reproduction/logs/v8-base-v8-regress-1309769-smoke-retry.log
smoke	v8-base:v8-regress-1309769	0-after-transient-ninja-retry-budget-fix	reproduction/logs/v8-base-v8-regress-1309769-smoke-retry10.log
build	llvm-base-proxy	0	reproduction/logs/llvm-base-build-proxy.log
smoke	llvm-base:llvm-gh-136814	1-function-test-timeout-3600	reproduction/logs/llvm-base-llvm-gh-136814-smoke-20260916.log
build	llvm-base-timeout-fix	1-github-clone-tls-termination	reproduction/logs/llvm-base-build-timeout-fix-20260916.log
build	llvm-base-timeout-fix-proxy	0	reproduction/logs/llvm-base-build-timeout-fix-retry-20260916.log
smoke	llvm-base:llvm-gh-136814	0-after-function-timeout-and-job-budget-fix	reproduction/logs/llvm-base-llvm-gh-136814-smoke-timeout-fix-20260916.log
